Group	Old_Group	Name	Antigenic_Formula	Alt_Antigenic_Formula	Species	Subspecies	Subspecies_symbol	O	Alt_O	Phase1	Phase2	OtherH	Added_Supplement	Updated_Supplement
O:2	A	Paratyphi A	I 1,2,12:a:[1,5]	I [1],2,12:a:[1,5]	enterica	enterica	I	1,2,12	[1],2,12	a	[1,5]			
O:2	A	Nitra	I 2,12:g,m:–	I 2,12:g,m:–	enterica	enterica	I	2,12	2,12	g,m	–			
O:2	A	Kiel	I 1,2,12:g,p:–	I [1],2,12:g,p:–	enterica	enterica	I	1,2,12	[1],2,12	g,p	–			
O:2	A	Koessen	I 2,12:l,v:1,5	I 2,12:l,v:1,5	enterica	enterica	I	2,12	2,12	l,v	1,5			
O:4	B	Kisangani	I 1,4,[5],12:a:1,2	I [1],4,[5],12:a:1,2	enterica	enterica	I	1,4,[5],12	[1],4,[5],12	a	1,2			
O:4	B	Hessarek	I 4,12,[27]:a:1,5	I 4,12,[27]:a:1,5	enterica	enterica	I	4,12,[27]	4,12,[27]	a	1,5			
O:4	B	Fulica	I 4,[5],12:a:[1,5]	I 4,[5],12:a:[1,5]	enterica	enterica	I	4,[5],12	4,[5],12	a	[1,5]			
O:4	B	Arechavaleta	I 4,[5],12:a:1,7	I 4,[5],12:a:1,7	enterica	enterica	I	4,[5],12	4,[5],12	a	1,7			
O:4	B	Bispebjerg	I 1,4,[5],12:a:e,n,x	I [1],4,[5],12:a:e,n,x	enterica	enterica	I	1,4,[5],12	[1],4,[5],12	a	e,n,x			
O:4	B	Tinda	I 1,4,12,27:a:e,n,z15	I [1],4,12,27:a:e,n,z15	enterica	enterica	I	1,4,12,27	[1],4,12,27	a	e,n,z15			
O:4	B	II 1,4,[5],12,[27]:a:e,n,x	II 1,4,[5],12,[27]:a:e,n,x	II [1],4,[5],12,[27]:a:e,n,x	enterica	salamae	II	1,4,[5],12,[27]	[1],4,[5],12,[27]	a	e,n,x			
O:4	B	Huettwilen	I 1,4,12:a:l,w	I [1],4,12:a:l,w	enterica	enterica	I	1,4,12	[1],4,12	a	l,w			
O:4	B	Nakuru	I 1,4,12,27:a:z6	I [1],4,12,27:a:z6	enterica	enterica	I	1,4,12,27	[1],4,12,27	a	z6			
O:4	B	II 1,4,12,[27]:a:z39	II 1,4,12,[27]:a:z39	II [1],4,12,[27]:a:z39	enterica	salamae	II	1,4,12,[27]	[1],4,12,[27]	a	z39			
O:4	B	Paratyphi B	I 1,4,[5],12:b:1,2:[z5],[z33]	I [1],4,[5],12:b:1,2:[z5],[z33]	enterica	enterica	I	1,4,[5],12	[1],4,[5],12	b	1,2	[z5],[z33]		
O:4	B	Paratyphi B var. L(+) tartrate (= d–tartrate)+ I [1],4,[5],12:b:1,2:[z5],[z33] minimally congruent	I 1,4,[5],12:b:1,2:[z5],[z33]	I [1],4,[5],12:b:1,2:[z5],[z33]	enterica	enterica	I	1,4,[5],12	[1],4,[5],12	b	1,2	[z5],[z33]		
O:4	B	Limete	I 1,4,[5],12,[27]:b:1,5	I [1],4,[5],12,[27]:b:1,5	enterica	enterica	I	1,4,[5],12,[27]	[1],4,[5],12,[27]	b	1,5			47
O:4	B	II 4,12:b:1,5	II 4,12:b:1,5	II 4,12:b:1,5	enterica	salamae	II	4,12	4,12	b	1,5			
O:4	B	Canada	I 4,12,[27]:b:1,6	I 4,12,[27]:b:1,6	enterica	enterica	I	4,12,[27]	4,12,[27]	b	1,6			
O:4	B	Uppsala	I 1,4,12,27:b:1,7	I [1],4,12,27:b:1,7	enterica	enterica	I	1,4,12,27	[1],4,12,27	b	1,7			
O:4	B	Abony	I 1,4,[5],12,[27]:b:e,n,x	I [1],4,[5],12,[27]:b:e,n,x	enterica	enterica	I	1,4,[5],12,[27]	[1],4,[5],12,[27]	b	e,n,x			
O:4	B	II 1,4,[5],12,[27]:b:[e,n,x]	II 1,4,[5],12,[27]:b:[e,n,x]	II [1],4,[5],12,[27]:b:[e,n,x]	enterica	salamae	II	1,4,[5],12,[27]	[1],4,[5],12,[27]	b	[e,n,x]			
O:4	B	Wagenia	I 1,4,12,27:b:e,n,z15	I [1],4,12,27:b:e,n,z15	enterica	enterica	I	1,4,12,27	[1],4,12,27	b	e,n,z15			
O:4	B	Wien	I 1,4,12,[27]:b:l,w	I [1],4,12,[27]:b:l,w	enterica	enterica	I	1,4,12,[27]	[1],4,12,[27]	b	l,w			
O:4	B	Tripoli	I 1,4,12,27:b:z6	I [1],4,12,27:b:z6	enterica	enterica	I	1,4,12,27	[1],4,12,27	b	z6			
O:4	B	Schleissheim	I 4,12,27:b:–	I 4,12,27:b:–	enterica	enterica	I	4,12,27	4,12,27	b	–			
